Designator,Mid X,Mid Y,Rotation,Layer
A1,225.025,-67.785,0.0,bottom
D1,81.1,-34.6,270.0,top
D10,117.1,-51.29,270.0,top
D11,135.1,-51.49,270.0,top
D12,153.0,-51.49,270.0,top
D13,171.0,-52.1,270.0,top
D14,80.7,-68.61,270.0,top
D15,99.0,-68.49,270.0,top
D16,117.1,-69.09,270.0,top
D17,134.9,-68.7,270.0,top
D18,153.0,-68.9,270.0,top
D19,171.1,-68.71,90.0,top
D2,99.1,-34.39,270.0,top
D20,80.9,-85.1,270.0,top
D21,99.0,-84.99,270.0,top
D22,117.2,-85.51,270.0,top
D23,135.2,-85.51,270.0,top
D24,153.0,-86.2,270.0,top
D25,171.1,-86.2,270.0,top
D26,81.0,-102.01,270.0,top
D27,99.0,-102.01,270.0,top
D28,117.1,-102.2,270.0,top
D29,135.0,-102.5,270.0,top
D3,117.1,-34.71,270.0,top
D30,153.0,-102.5,270.0,top
D31,171.1,-102.91,270.0,top
D32,188.9,-102.0,270.0,top
D33,243.0,-34.0,270.0,top
D34,261.2,-34.19,270.0,top
D35,279.0,-34.51,270.0,top
D36,297.3,-34.51,270.0,top
D37,315.1,-35.0,270.0,top
D38,333.1,-34.9,270.0,top
D39,351.0,-34.4,270.0,top
D4,135.1,-34.39,270.0,top
D40,261.1,-54.41,270.0,top
D41,279.0,-51.7,90.0,top
D42,297.0,-51.39,90.0,top
D43,315.0,-51.39,90.0,top
D44,332.9,-51.9,90.0,top
D45,351.0,-51.0,90.0,top
D46,260.7,-68.0,270.0,top
D47,279.0,-68.31,270.0,top
D48,297.0,-68.5,270.0,top
D49,315.0,-69.31,270.0,top
D5,153.0,-34.69,270.0,top
D50,333.2,-68.71,270.0,top
D51,350.9,-68.3,270.0,top
D52,260.7,-81.21,270.0,top
D53,279.2,-85.31,270.0,top
D54,297.0,-84.71,270.0,top
D55,315.0,-85.4,270.0,top
D56,333.1,-86.11,270.0,top
D57,351.0,-86.3,270.0,top
D58,242.7,-102.11,270.0,top
D59,260.8,-103.21,270.0,top
D6,171.1,-34.39,270.0,top
D60,279.0,-102.81,270.0,top
D61,297.0,-103.11,270.0,top
D62,314.9,-102.61,270.0,top
D63,333.1,-102.61,270.0,top
D64,351.0,-101.51,270.0,top
D7,189.3,-34.39,270.0,top
D8,81.0,-51.1,270.0,top
D9,99.1,-50.89,270.0,top
SW1,90.0,-35.11035,0.0,top
SW10,126.0,-52.11035,0.0,top
SW11,144.0,-52.11035,0.0,top
SW12,162.0,-52.11035,0.0,top
SW13,180.0,-52.11035,0.0,top
SW14,90.0,-69.11035,0.0,top
SW15,108.0,-69.11035,0.0,top
SW16,126.0,-69.11035,0.0,top
SW17,144.0,-69.11035,0.0,top
SW18,162.0,-69.11035,0.0,top
SW19,180.0,-69.11035,0.0,top
SW2,108.0,-35.11035,0.0,top
SW20,90.0,-86.11035,0.0,top
SW21,108.0,-86.11035,0.0,top
SW22,126.0,-86.11035,0.0,top
SW23,144.0,-86.11035,0.0,top
SW24,162.0,-86.11035,0.0,top
SW25,180.0,-86.11035,0.0,top
SW26,90.0,-103.11035,0.0,top
SW27,108.0,-103.11035,0.0,top
SW28,126.0,-103.11035,0.0,top
SW29,144.0,-103.11035,0.0,top
SW3,126.0,-35.11035,0.0,top
SW30,162.0,-103.11035,0.0,top
SW31,180.0,-103.11035,0.0,top
SW32,198.0,-103.11035,0.0,top
SW33,252.0,-35.11035,0.0,top
SW34,270.0,-35.11035,0.0,top
SW35,288.0,-35.11035,0.0,top
SW36,306.0,-35.11035,0.0,top
SW37,324.0,-35.11035,0.0,top
SW38,342.0,-35.11035,0.0,top
SW39,360.0,-35.11035,0.0,top
SW4,144.0,-35.11035,0.0,top
SW40,270.0,-52.11035,0.0,top
SW41,288.0,-52.11035,0.0,top
SW42,306.0,-52.11035,0.0,top
SW43,324.0,-52.11035,0.0,top
SW44,342.0,-52.11035,0.0,top
SW45,360.0,-52.11035,0.0,top
SW46,270.0,-69.11035,0.0,top
SW47,288.0,-69.11035,0.0,top
SW48,306.0,-69.11035,0.0,top
SW49,324.0,-69.11035,0.0,top
SW5,162.0,-35.11035,0.0,top
SW50,342.0,-69.11035,0.0,top
SW51,360.0,-69.11035,0.0,top
SW52,270.0,-86.11035,0.0,top
SW53,288.0,-86.11035,0.0,top
SW54,306.0,-86.11035,0.0,top
SW55,324.0,-86.11035,0.0,top
SW56,342.0,-86.11035,0.0,top
SW57,360.0,-86.11035,0.0,top
SW58,252.0,-103.11035,0.0,top
SW59,270.0,-103.11035,0.0,top
SW6,180.0,-35.11035,0.0,top
SW60,288.0,-103.11035,0.0,top
SW61,306.0,-103.11035,0.0,top
SW62,324.0,-103.11035,0.0,top
SW63,342.0,-103.11035,0.0,top
SW64,360.0,-103.11035,0.0,top
SW7,198.0,-35.11035,0.0,top
SW8,90.0,-52.11035,0.0,top
SW9,108.0,-52.11035,0.0,top
